PHP_Code,is_vulnerable,Description
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$query = ""(&(objectCategory=person)(objectClass=user)(mail='"". $tainted . ""'))"";
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__proc_open__func_FILTER-CLEANING-magic_quotes_filter__userByMail-concatenation_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$query = sprintf(""(&(objectCategory=person)(objectClass=user)(cn='%s'))"", $tainted);
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__proc_open__func_htmlspecialchars__userByCN-sprintf_%s_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$sanitized = filter_var($tainted, FILTER_SANITIZE_EMAIL);
if (filter_var($sanitized, FILTER_VALIDATE_EMAIL))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$query = ""(&(objectCategory=person)(objectClass=user)(cn='"". $tainted . ""'))"";
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__popen__func_FILTER-CLEANING-email_filter__userByCN-concatenation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = preg_replace('/\'/', '', $tainted);
$query = ""name='"". $tainted . ""'"";
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__shell_exec__func_preg_replace__name-concatenation_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
//no_sanitizing
$query = sprintf(""!name='%s'"", $tainted);
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__fopen__no_sanitizing__not_name-sprintf_%s_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$tainted = addslashes($tainted);
$query = sprintf(""!name='%s'"", $tainted);
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__fopen__func_addslashes__not_name-sprintf_%s_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = preg_replace('/\'/', '', $tainted);
$query = ""(&(objectCategory=person)(objectClass=user)(cn='"". $tainted . ""'))"";
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__POST__func_preg_replace__userByCN-concatenation_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$query = ""name=' $tainted '"";
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__proc_open__func_htmlspecialchars__name-interpretation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$query = sprintf(""(&(objectCategory=person)(objectClass=user)(mail='%s'))"", $tainted);
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__exec__func_htmlspecialchars__userByMail-sprintf_%s_simple_quote
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = pg_escape_string($tainted);
$query = ""(&(objectCategory=person)(objectClass=user)(mail='"". $tainted . ""'))"";
//flaw
$ds=ldap_connect(""localhost""); 
$r=ldap_bind($ds);
$sr=ldap_search($ds,""o=My Company, c=US"", $query); 
ldap_close($ds);
?>",1,CWE_90__object-directGet__func_pg_escape_string__userByMail-concatenation_simple_quote
